Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
2.0,0.0,2.0,1.0,2.0,0.0,17619.5,5.0,0.9524054054054054,14.0
4.0,1.0,2.0,1.0,1.0,0.0,16176.5,5.0,0.8744054054054055,14.0
0.0,0.0,0.0,2.0,3.0,0.0,15702.5,5.0,0.8487837837837838,14.0
2.0,1.0,0.0,2.0,2.0,0.0,15606.0,5.0,0.8435675675675676,14.0
0.0,1.0,1.0,1.0,2.0,0.0,15340.0,5.0,0.8291891891891892,14.0
6.0,2.0,2.0,1.0,0.0,0.0,15026.0,5.0,0.8122162162162162,14.0
2.0,2.0,1.0,1.0,1.0,0.0,14839.0,5.0,0.8021081081081081,14.0
4.0,2.0,0.0,2.0,1.0,0.0,14339.5,5.0,0.7751081081081082,14.0
2.0,0.0,0.0,1.0,3.0,0.0,13865.0,4.0,0.7494594594594595,14.0
8.0,2.0,1.0,2.0,0.0,0.0,13566.0,5.0,0.7332972972972973,14.0
4.0,1.0,0.0,1.0,2.0,0.0,13364.0,4.0,0.7223783783783784,14.0
6.0,2.0,0.0,1.0,1.0,0.0,13085.5,4.0,0.7073243243243243,14.0
4.0,3.0,1.0,1.0,0.0,0.0,13082.5,5.0,0.7071621621621622,14.0
6.0,3.0,0.0,2.0,0.0,0.0,11051.0,5.0,0.5973513513513513,14.0
8.0,3.0,0.0,1.0,0.0,0.0,10825.5,4.0,0.5851621621621622,14.0
0.0,3.0,0.0,1.0,1.0,0.0,9945.0,5.0,0.5375675675675675,14.0
2.0,1.0,3.0,0.0,1.0,0.0,9262.5,5.0,0.5006756756756757,14.0
8.0,2.0,2.0,0.0,0.0,0.0,8971.0,4.0,0.4849189189189189,14.0
2.0,4.0,0.0,1.0,0.0,0.0,8941.5,5.0,0.4833243243243243,14.0
8.0,2.0,0.0,0.0,1.0,0.0,8892.0,3.0,0.48064864864864865,14.0
6.0,1.0,0.0,0.0,2.0,0.0,8848.0,3.0,0.47827027027027025,14.0
4.0,2.0,3.0,0.0,0.0,0.0,8742.5,5.0,0.47256756756756757,14.0
0.0,0.0,3.0,0.0,2.0,0.0,7759.0,5.0,0.4194054054054054,14.0
10.0,3.0,0.0,0.0,0.0,0.0,7541.5,3.0,0.40764864864864864,14.0
4.0,2.0,1.0,0.0,1.0,0.0,7193.0,4.0,0.3888108108108108,14.0
2.0,0.0,0.0,1.0,0.0,1.0,7076.5,2.0,0.38251351351351354,14.0
4.0,0.0,0.0,0.0,0.0,1.0,6990.5,1.0,0.37786486486486487,14.0
6.0,3.0,1.0,0.0,0.0,0.0,6476.0,4.0,0.35005405405405404,14.0
2.0,1.0,1.0,0.0,2.0,0.0,5922.5,4.0,0.32013513513513514,14.0
2.0,3.0,2.0,0.0,0.0,0.0,5445.5,5.0,0.2943513513513514,14.0
0.0,2.0,2.0,0.0,1.0,0.0,4879.5,5.0,0.26375675675675675,14.0
0.0,0.0,0.0,2.0,0.0,1.0,3769.5,3.0,0.20375675675675675,14.0
2.0,3.0,0.0,0.0,1.0,0.0,2735.5,4.0,0.14786486486486486,14.0
4.0,4.0,0.0,0.0,0.0,0.0,2724.5,4.0,0.14727027027027026,14.0
0.0,4.0,1.0,0.0,0.0,0.0,2183.0,5.0,0.118,14.0
0.0,0.0,1.0,0.0,3.0,0.0,2117.0,4.0,0.11443243243243244,14.0
0.0,2.0,0.0,0.0,2.0,0.0,1319.5,4.0,0.07132432432432433,14.0
0.0,0.0,1.0,0.0,0.0,1.0,276.0,2.0,0.014918918918918918,14.0
