Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,0.0,3.0,0.0,1.0,14220.5,4.0,0.4587258064516129,15.0
0.0,0.0,0.0,3.0,3.0,0.0,27958.5,6.0,0.9018870967741935,15.0
0.0,0.0,1.0,1.0,0.0,1.0,3208.0,3.0,0.10348387096774193,15.0
0.0,0.0,1.0,1.0,3.0,0.0,21862.0,5.0,0.7052258064516129,15.0
0.0,0.0,3.0,1.0,2.0,0.0,28245.5,6.0,0.9111451612903226,15.0
0.0,1.0,0.0,0.0,0.0,1.0,36.5,2.0,0.0011774193548387097,15.0
0.0,1.0,0.0,0.0,3.0,0.0,2341.0,4.0,0.07551612903225806,15.0
0.0,1.0,1.0,2.0,2.0,0.0,26552.5,6.0,0.8565322580645162,15.0
0.0,1.0,2.0,0.0,2.0,0.0,7192.5,5.0,0.23201612903225807,15.0
0.0,1.0,4.0,0.0,1.0,0.0,12775.5,6.0,0.41211290322580646,15.0
0.0,2.0,0.0,1.0,2.0,0.0,16401.0,5.0,0.5290645161290323,15.0
0.0,2.0,2.0,1.0,1.0,0.0,24564.0,6.0,0.7923870967741935,15.0
0.0,3.0,0.0,2.0,1.0,0.0,19451.5,6.0,0.6274677419354838,15.0
0.0,3.0,1.0,0.0,1.0,0.0,4158.5,5.0,0.13414516129032258,15.0
0.0,3.0,3.0,0.0,0.0,0.0,8462.5,6.0,0.27298387096774196,15.0
0.0,4.0,1.0,1.0,0.0,0.0,15182.5,6.0,0.489758064516129,15.0
0.0,5.0,0.0,0.0,0.0,0.0,689.5,5.0,0.02224193548387097,15.0
2.0,0.0,0.0,2.0,0.0,1.0,13483.5,3.0,0.4349516129032258,15.0
2.0,0.0,0.0,2.0,3.0,0.0,24363.5,5.0,0.7859193548387097,15.0
2.0,0.0,1.0,0.0,0.0,1.0,3210.0,2.0,0.10354838709677419,15.0
2.0,0.0,1.0,0.0,3.0,0.0,7934.0,4.0,0.25593548387096776,15.0
2.0,0.0,2.0,2.0,2.0,0.0,28614.0,6.0,0.9230322580645162,15.0
2.0,0.0,3.0,0.0,2.0,0.0,12647.5,5.0,0.4079838709677419,15.0
2.0,1.0,0.0,3.0,2.0,0.0,26544.0,6.0,0.8562580645161291,15.0
2.0,1.0,1.0,1.0,2.0,0.0,24368.5,5.0,0.7860806451612903,15.0
2.0,1.0,3.0,1.0,1.0,0.0,26906.0,6.0,0.8679354838709677,15.0
2.0,2.0,0.0,0.0,2.0,0.0,5966.0,4.0,0.1924516129032258,15.0
2.0,2.0,1.0,2.0,1.0,0.0,24561.5,6.0,0.7923064516129033,15.0
2.0,2.0,2.0,0.0,1.0,0.0,8951.0,5.0,0.28874193548387095,15.0
2.0,2.0,4.0,0.0,0.0,0.0,13510.5,6.0,0.4358225806451613,15.0
2.0,3.0,0.0,1.0,1.0,0.0,16991.0,5.0,0.5480967741935484,15.0
2.0,3.0,2.0,1.0,0.0,0.0,21054.5,6.0,0.6791774193548387,15.0
2.0,4.0,0.0,2.0,0.0,0.0,12523.5,6.0,0.4039838709677419,15.0
2.0,4.0,1.0,0.0,0.0,0.0,4254.5,5.0,0.13724193548387098,15.0
4.0,0.0,0.0,1.0,0.0,1.0,14801.5,2.0,0.47746774193548386,15.0
4.0,1.0,0.0,2.0,2.0,0.0,22941.0,5.0,0.7400322580645161,15.0
4.0,1.0,1.0,0.0,2.0,0.0,9953.0,4.0,0.32106451612903225,15.0
4.0,1.0,2.0,2.0,1.0,0.0,26456.0,6.0,0.8534193548387097,15.0
4.0,1.0,3.0,0.0,1.0,0.0,13716.5,5.0,0.4424677419354839,15.0
4.0,1.0,5.0,0.0,0.0,0.0,16918.0,6.0,0.545741935483871,15.0
4.0,2.0,0.0,3.0,1.0,0.0,23116.5,6.0,0.7456935483870968,15.0
4.0,2.0,1.0,1.0,1.0,0.0,21142.0,5.0,0.682,15.0
4.0,2.0,3.0,1.0,0.0,0.0,24613.0,6.0,0.7939677419354839,15.0
4.0,3.0,0.0,0.0,1.0,0.0,6249.0,4.0,0.20158064516129032,15.0
4.0,3.0,1.0,2.0,0.0,0.0,20090.5,6.0,0.6480806451612903,15.0
