Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Warsun,Score,FleetSize,WinRate,Cost
0.0,0.0,4.0,2.0,0.0,0.0,14943.0,6.0,0.9339375,10.0
0.0,0.0,2.0,3.0,1.0,0.0,17376.5,6.0,0.9392702702702703,11.0
0.0,0.0,3.0,2.0,1.0,0.0,20419.5,6.0,0.9075333333333333,12.0
0.0,0.0,4.0,1.0,1.0,0.0,23558.5,6.0,0.9238627450980392,13.0
2.0,0.0,1.0,3.0,2.0,0.0,25841.5,6.0,0.906719298245614,14.0
2.0,0.0,2.0,2.0,2.0,0.0,28614.0,6.0,0.9230322580645162,15.0
2.0,0.0,0.0,3.0,3.0,0.0,30809.0,6.0,0.9196716417910448,16.0
0.0,0.0,0.0,5.0,0.0,1.0,34811.5,6.0,0.980605633802817,17.0
2.0,0.0,0.0,5.0,0.0,1.0,36708.5,6.0,0.9788933333333333,18.0
2.0,0.0,1.0,4.0,0.0,1.0,38496.0,6.0,0.9870769230769231,19.0
2.0,0.0,2.0,3.0,0.0,1.0,39824.0,6.0,0.9833086419753087,20.0
0.0,0.0,0.0,2.0,0.0,0.0,498.0,2.0,0.996,2.0
0.0,0.0,0.0,3.0,0.0,0.0,992.0,3.0,0.992,3.0
0.0,0.0,0.0,4.0,0.0,0.0,2492.5,4.0,0.997,4.0
0.0,0.0,1.0,3.0,0.0,0.0,3242.0,4.0,0.9262857142857143,5.0
0.0,0.0,1.0,4.0,0.0,0.0,5005.5,5.0,0.9100909090909091,6.0
0.0,0.0,2.0,3.0,0.0,0.0,6441.0,5.0,0.9201428571428572,7.0
0.0,0.0,2.0,4.0,0.0,0.0,9427.0,6.0,0.9427,8.0
0.0,0.0,3.0,3.0,0.0,0.0,12480.5,6.0,0.9600384615384615,9.0
